Autor: Adolfo Cortés Corona
05/10/2023 09:20:08 p. m.
# | Caracter
include | Identificador
< | OperadorRelacional
stdio | Identificador
. | Caracter
h | Identificador
> | OperadorRelacional
# | Caracter
include | Identificador
< | OperadorRelacional
math | Identificador
. | Caracter
h | Identificador
> | OperadorRelacional
# | Caracter
include | Identificador
< | OperadorRelacional
iostream | Identificador
> | OperadorRelacional
char | TipoDato
altura | Identificador
, | Caracter
i | Identificador
, | Caracter
j | Identificador
, | Caracter
k | Identificador
; | FinSentencia
void | Identificador
main | Identificador
( | Caracter
) | Caracter
{ | Inicio
k | Identificador
k = = | Asignacion
( | Caracter
float | TipoDato
) | Caracter
( | Caracter
7.5 | Numero
) | Caracter
; | FinSentencia
Error: de semantica, no se puede asignar un <Float> a un <Char> en la linea 11 columna 22
